"privacy_concerns","smartphone_skill","whatsapp_usage","secure_messenger","other_messenger","altruism","civic_duty","trust_science","trust_polsters","trust_gen","extrov","openess","neurot","consient","agreab","age_n","sted","inc_cat","educ_cat","employ_bin","Y_contacts"
5,3,1,0,0,0,0,3,3,8,24,29,20,33,16,38,4,1,5,1,558
6,5,2,0,1,1,0,4,1,4,13,22,21,30,31,36,2,0,2,0,510
4,3,1,0,0,0,0,3,3,8,28,30,14,18,27,18,6,1,4,1,536
2,2,2,1,1,1,1,2,1,9,30,24,39,34,29,43,8,0,3,0,550
2,2,3,1,1,1,2,2,4,0,21,30,20,27,20,50,1,0,3,0,452
5,3,1,0,0,0,0,3,3,7,25,19,23,33,28,37,5,1,5,1,554
4,4,1,0,0,0,0,3,2,6,11,26,22,32,31,54,3,1,4,1,543
2,2,2,1,1,1,1,2,1,9,20,23,36,31,25,62,8,0,3,0,553
4,4,1,0,0,0,0,3,2,6,28,25,33,31,25,53,3,1,4,0,549
4,3,1,0,0,0,0,3,2,8,35,29,26,22,27,29,6,1,4,1,556
7,2,3,1,1,1,2,2,4,0,21,16,20,30,39,33,9,0,1,0,523
4,3,1,0,0,0,0,3,2,8,9,35,30,26,29,61,6,1,4,1,578
3,4,1,0,0,1,0,4,2,5,20,29,19,25,21,67,7,1,6,0,563
3,4,1,0,0,0,0,4,2,6,21,27,29,32,29,25,3,1,6,0,517
5,3,1,0,0,0,0,3,3,7,21,20,40,31,32,29,5,1,5,1,567
2,2,2,1,1,1,1,2,1,9,37,25,38,33,36,80,8,0,3,0,608
5,3,1,0,0,0,0,3,3,7,33,26,25,23,30,32,4,1,5,1,563
5,3,1,0,0,0,0,3,3,7,31,22,17,22,36,54,5,1,5,1,567
4,3,1,0,0,0,0,3,3,8,21,33,27,28,32,74,4,1,4,1,600
7,2,3,1,1,1,2,2,4,0,18,26,33,27,32,62,9,0,1,0,564
2,2,2,1,1,1,1,2,1,9,22,36,32,30,32,44,8,0,3,0,548
3,5,1,0,0,1,0,4,2,5,17,37,25,27,30,74,7,1,6,0,599
3,4,1,0,0,1,0,4,2,6,17,34,26,33,26,69,7,1,6,0,594
1,1,4,1,1,1,4,1,4,1,27,32,22,17,28,58,10,0,1,0,515
3,4,1,0,0,1,0,4,2,5,14,25,24,33,39,78,7,1,6,0,599
3,5,1,0,0,1,0,4,2,5,17,28,31,27,25,32,0,1,6,0,518
4,4,1,0,0,0,0,3,2,6,29,26,34,18,29,31,3,1,4,0,518
3,4,1,0,0,0,0,4,2,6,28,28,28,27,20,58,3,1,6,0,557
5,3,1,0,0,0,0,3,3,8,18,22,34,31,30,62,4,1,5,1,597
5,3,1,0,0,0,0,3,3,7,14,30,15,21,36,43,5,1,5,1,558
7,2,3,1,1,1,2,1,4,0,12,32,35,31,24,61,9,0,1,0,547
2,2,2,1,1,1,1,2,1,9,19,17,27,26,34,60,8,0,3,0,537
3,5,1,0,0,1,0,4,2,5,25,23,20,27,26,72,7,1,6,0,580
6,5,2,0,1,1,1,4,1,4,16,29,14,21,30,18,2,0,2,0,500
5,3,1,0,0,0,0,3,3,7,27,24,29,36,33,31,5,1,5,1,573
4,3,1,0,0,0,0,3,2,8,32,32,31,26,35,42,3,1,4,1,572
6,5,1,0,1,1,0,4,2,4,21,29,20,22,30,66,0,0,2,0,541
5,3,1,0,0,0,0,3,3,7,29,29,28,28,21,68,4,1,5,1,599
4,3,1,0,0,0,0,3,3,8,17,26,24,35,28,53,4,1,4,1,567
5,3,1,0,0,0,0,3,3,7,14,18,13,32,26,75,4,1,5,1,570
5,3,1,0,0,0,0,3,3,7,26,16,37,29,32,75,5,1,5,1,611
4,3,1,0,0,0,0,3,3,8,28,16,22,31,30,31,6,1,4,1,553
4,3,1,0,0,0,0,3,3,8,12,25,22,19,17,36,6,1,4,1,525
4,3,1,0,0,0,0,3,3,8,27,26,32,28,28,60,6,1,4,1,592
5,3,1,0,0,0,0,3,3,7,9,21,21,25,22,51,5,1,5,1,543
5,3,1,0,0,0,0,3,3,7,23,26,15,29,25,41,5,1,5,1,555
5,3,1,0,0,0,0,3,3,7,26,25,34,19,26,71,4,1,5,1,595
4,3,1,0,0,0,0,3,2,8,22,25,11,26,29,33,6,1,4,1,530
5,3,1,0,0,0,0,3,3,7,21,23,27,26,39,40,4,1,5,1,569
2,5,2,1,1,1,1,2,1,3,13,20,18,28,17,38,2,0,3,0,428
5,3,1,0,0,0,0,3,3,7,22,34,14,20,31,34,5,1,5,1,556
4,3,1,0,0,0,0,3,2,8,28,24,19,22,32,29,6,1,4,1,535
6,5,2,0,1,1,1,4,1,4,18,33,22,24,31,19,2,0,2,0,522
5,3,1,0,0,0,0,3,3,7,24,33,27,26,29,54,5,1,5,1,579
3,4,1,0,0,0,0,3,2,6,27,25,20,28,27,28,3,1,6,0,502
5,3,1,0,0,0,0,3,3,7,17,25,15,28,29,41,4,1,5,1,554
5,3,1,0,0,0,0,3,3,7,33,25,17,31,30,21,5,1,5,1,543
6,5,1,0,1,1,0,4,2,5,25,29,31,25,30,18,0,0,2,0,510
2,2,2,1,1,1,1,2,1,9,25,22,24,25,26,56,8,0,3,0,532
4,3,1,0,0,0,0,3,3,8,28,21,36,29,33,83,6,1,4,1,623
3,4,1,0,0,1,0,4,2,5,25,26,22,29,25,66,7,1,6,0,573
5,3,1,0,0,0,0,3,3,7,22,25,29,20,25,30,5,1,5,1,550
4,3,1,0,0,0,0,3,3,8,24,21,22,26,29,23,6,1,4,1,536
5,3,1,0,0,0,0,3,3,7,21,25,22,29,23,64,4,1,5,1,564
6,5,2,1,1,1,1,4,1,4,31,26,40,28,30,49,2,0,2,0,555
4,3,1,0,0,0,0,3,2,8,15,20,29,20,32,59,6,1,4,1,554
6,5,2,1,1,1,1,4,1,4,29,25,25,26,16,24,2,0,2,0,509
6,5,2,1,1,1,1,4,1,4,21,25,29,36,30,79,2,0,2,0,584
6,5,2,0,1,1,1,4,1,4,22,27,14,24,31,45,2,0,2,0,529
4,3,1,0,0,0,0,3,2,8,27,26,30,22,30,63,6,1,4,1,583
