"privacy_concerns","smartphone_skill","whatsapp_usage","secure_messenger","other_messenger","altruism","civic_duty","trust_science","trust_polsters","trust_gen","extrov","openess","neurot","consient","agreab","age_n","sted","inc_cat","educ_cat","employ_bin","Y_contacts"
5,3,1,0,0,0,0,3,3,8,24,29,20,33,16,38,4,1,5,1,919
6,5,2,0,1,1,0,4,1,4,13,22,21,30,31,36,2,0,2,0,1199
4,3,1,0,0,0,0,3,3,8,28,30,14,18,27,18,6,1,4,1,798
2,2,2,1,1,1,1,2,1,9,30,24,39,34,29,43,8,0,3,0,699
2,2,3,1,1,1,2,2,4,0,21,30,20,27,20,50,1,0,3,0,781
5,3,1,0,0,0,0,3,3,7,25,19,23,33,28,37,5,1,5,1,905
4,4,1,0,0,0,0,3,2,6,11,26,22,32,31,54,3,1,4,1,865
2,2,2,1,1,1,1,2,1,9,20,23,36,31,25,62,8,0,3,0,701
4,4,1,0,0,0,0,3,2,6,28,25,33,31,25,53,3,1,4,0,876
4,3,1,0,0,0,0,3,2,8,35,29,26,22,27,29,6,1,4,1,807
7,2,3,1,1,1,2,2,4,0,21,16,20,30,39,33,9,0,1,0,1315
4,3,1,0,0,0,0,3,2,8,9,35,30,26,29,61,6,1,4,1,832
3,4,1,0,0,1,0,4,2,5,20,29,19,25,21,67,7,1,6,0,835
3,4,1,0,0,0,0,4,2,6,21,27,29,32,29,25,3,1,6,0,792
5,3,1,0,0,0,0,3,3,7,21,20,40,31,32,29,5,1,5,1,915
2,2,2,1,1,1,1,2,1,9,37,25,38,33,36,80,8,0,3,0,759
5,3,1,0,0,0,0,3,3,7,33,26,25,23,30,32,4,1,5,1,912
5,3,1,0,0,0,0,3,3,7,31,22,17,22,36,54,5,1,5,1,924
4,3,1,0,0,0,0,3,3,8,21,33,27,28,32,74,4,1,4,1,864
7,2,3,1,1,1,2,2,4,0,18,26,33,27,32,62,9,0,1,0,1348
2,2,2,1,1,1,1,2,1,9,22,36,32,30,32,44,8,0,3,0,708
3,5,1,0,0,1,0,4,2,5,17,37,25,27,30,74,7,1,6,0,950
3,4,1,0,0,1,0,4,2,6,17,34,26,33,26,69,7,1,6,0,858
1,1,4,1,1,1,4,1,4,1,27,32,22,17,28,58,10,0,1,0,1166
3,4,1,0,0,1,0,4,2,5,14,25,24,33,39,78,7,1,6,0,853
3,5,1,0,0,1,0,4,2,5,17,28,31,27,25,32,0,1,6,0,862
4,4,1,0,0,0,0,3,2,6,29,26,34,18,29,31,3,1,4,0,851
3,4,1,0,0,0,0,4,2,6,28,28,28,27,20,58,3,1,6,0,811
5,3,1,0,0,0,0,3,3,8,18,22,34,31,30,62,4,1,5,1,951
5,3,1,0,0,0,0,3,3,7,14,30,15,21,36,43,5,1,5,1,899
7,2,3,1,1,1,2,1,4,0,12,32,35,31,24,61,9,0,1,0,1332
2,2,2,1,1,1,1,2,1,9,19,17,27,26,34,60,8,0,3,0,695
3,5,1,0,0,1,0,4,2,5,25,23,20,27,26,72,7,1,6,0,940
6,5,2,0,1,1,1,4,1,4,16,29,14,21,30,18,2,0,2,0,1183
5,3,1,0,0,0,0,3,3,7,27,24,29,36,33,31,5,1,5,1,924
4,3,1,0,0,0,0,3,2,8,32,32,31,26,35,42,3,1,4,1,829
6,5,1,0,1,1,0,4,2,4,21,29,20,22,30,66,0,0,2,0,1165
5,3,1,0,0,0,0,3,3,7,29,29,28,28,21,68,4,1,5,1,942
4,3,1,0,0,0,0,3,3,8,17,26,24,35,28,53,4,1,4,1,831
5,3,1,0,0,0,0,3,3,7,14,18,13,32,26,75,4,1,5,1,917
5,3,1,0,0,0,0,3,3,7,26,16,37,29,32,75,5,1,5,1,958
4,3,1,0,0,0,0,3,3,8,28,16,22,31,30,31,6,1,4,1,815
4,3,1,0,0,0,0,3,3,8,12,25,22,19,17,36,6,1,4,1,787
4,3,1,0,0,0,0,3,3,8,27,26,32,28,28,60,6,1,4,1,853
5,3,1,0,0,0,0,3,3,7,9,21,21,25,22,51,5,1,5,1,896
5,3,1,0,0,0,0,3,3,7,23,26,15,29,25,41,5,1,5,1,907
5,3,1,0,0,0,0,3,3,7,26,25,34,19,26,71,4,1,5,1,945
4,3,1,0,0,0,0,3,2,8,22,25,11,26,29,33,6,1,4,1,793
5,3,1,0,0,0,0,3,3,7,21,23,27,26,39,40,4,1,5,1,912
2,5,2,1,1,1,1,2,1,3,13,20,18,28,17,38,2,0,3,0,789
5,3,1,0,0,0,0,3,3,7,22,34,14,20,31,34,5,1,5,1,899
4,3,1,0,0,0,0,3,2,8,28,24,19,22,32,29,6,1,4,1,806
6,5,2,0,1,1,1,4,1,4,18,33,22,24,31,19,2,0,2,0,1206
5,3,1,0,0,0,0,3,3,7,24,33,27,26,29,54,5,1,5,1,936
3,4,1,0,0,0,0,3,2,6,27,25,20,28,27,28,3,1,6,0,763
5,3,1,0,0,0,0,3,3,7,17,25,15,28,29,41,4,1,5,1,897
5,3,1,0,0,0,0,3,3,7,33,25,17,31,30,21,5,1,5,1,896
6,5,1,0,1,1,0,4,2,5,25,29,31,25,30,18,0,0,2,0,1139
2,2,2,1,1,1,1,2,1,9,25,22,24,25,26,56,8,0,3,0,689
4,3,1,0,0,0,0,3,3,8,28,21,36,29,33,83,6,1,4,1,896
3,4,1,0,0,1,0,4,2,5,25,26,22,29,25,66,7,1,6,0,831
5,3,1,0,0,0,0,3,3,7,22,25,29,20,25,30,5,1,5,1,900
4,3,1,0,0,0,0,3,3,8,24,21,22,26,29,23,6,1,4,1,799
5,3,1,0,0,0,0,3,3,7,21,25,22,29,23,64,4,1,5,1,921
6,5,2,1,1,1,1,4,1,4,31,26,40,28,30,49,2,0,2,0,1243
4,3,1,0,0,0,0,3,2,8,15,20,29,20,32,59,6,1,4,1,821
6,5,2,1,1,1,1,4,1,4,29,25,25,26,16,24,2,0,2,0,1197
6,5,2,1,1,1,1,4,1,4,21,25,29,36,30,79,2,0,2,0,1266
6,5,2,0,1,1,1,4,1,4,22,27,14,24,31,45,2,0,2,0,1229
4,3,1,0,0,0,0,3,2,8,27,26,30,22,30,63,6,1,4,1,853
6,5,1,0,1,1,0,4,2,5,26,26,31,22,23,56,0,0,2,0,1163
3,4,1,0,0,1,0,4,2,6,16,23,24,33,29,38,7,1,6,0,814
3,5,1,0,0,1,0,4,2,5,27,35,24,28,31,27,0,1,6,0,889
5,3,1,0,0,0,0,3,3,7,25,30,25,28,30,54,5,1,5,1,946
4,3,1,0,0,0,0,3,2,8,11,27,20,20,22,49,3,1,4,1,781
5,3,1,0,0,0,0,3,3,7,38,25,40,30,16,69,4,1,5,1,959
4,3,1,0,0,0,0,3,3,8,12,22,29,26,31,71,6,1,4,1,853
3,4,1,0,0,1,0,4,2,6,12,26,27,15,23,24,7,1,6,0,781
4,3,1,0,0,0,0,3,3,8,18,17,24,30,23,49,6,1,4,1,821
5,3,1,0,0,0,0,3,3,7,16,25,22,23,37,23,5,1,5,1,889
5,3,1,0,0,0,0,3,3,7,26,36,36,21,24,19,4,1,5,1,897
3,4,1,0,0,1,0,4,2,5,20,27,21,24,29,74,7,1,6,0,834
4,3,1,0,0,0,0,3,3,8,17,28,26,24,31,27,6,1,4,1,805
6,5,2,0,1,1,0,4,1,4,13,24,29,33,31,71,2,0,2,0,1262
5,3,1,0,0,0,0,3,3,7,20,20,10,28,28,30,5,1,5,1,887
4,3,1,0,0,0,0,3,2,8,34,34,26,28,29,36,6,1,4,1,835
1,1,3,1,1,1,3,1,4,10,18,18,24,29,39,39,11,0,1,0,850
2,2,2,1,1,1,1,2,1,9,15,29,19,30,25,54,8,0,3,0,684
2,2,2,1,1,1,1,2,1,9,31,28,20,32,21,75,8,0,3,0,713
5,3,1,0,0,0,0,3,3,7,15,15,22,30,21,63,5,1,5,1,912
5,3,1,0,0,0,0,3,3,7,24,26,20,28,25,61,5,1,5,1,924
3,4,1,0,0,1,0,4,2,5,24,27,19,23,34,65,7,1,6,0,832
4,3,1,0,0,0,0,3,3,8,27,19,31,18,29,72,6,1,4,1,858
3,4,1,0,0,1,0,4,2,5,20,32,15,28,27,70,7,1,6,0,834
4,3,1,0,0,0,0,3,3,8,27,25,38,33,36,60,4,1,4,1,864
5,3,1,0,0,0,0,3,3,7,28,28,35,29,30,73,4,1,5,1,965
6,5,2,0,1,1,0,4,1,4,22,27,24,27,28,60,2,0,2,0,1238
5,3,1,0,0,0,0,3,3,7,35,23,33,25,32,20,5,1,5,1,914
4,3,1,0,0,0,0,3,2,8,25,27,22,29,27,69,6,1,4,1,844
4,4,1,0,0,0,0,3,2,6,28,34,34,34,34,51,3,1,4,1,906
3,4,1,0,0,0,0,4,2,6,19,23,31,29,21,60,3,1,6,0,811
4,3,1,0,0,0,0,3,3,8,25,17,22,26,28,44,6,1,4,1,812
4,4,1,0,0,0,0,3,2,6,18,25,19,29,30,41,3,1,4,1,854
7,2,3,1,1,1,2,2,4,0,38,23,20,25,27,59,9,0,1,0,1353
4,4,1,0,0,0,0,3,2,6,29,23,26,27,24,64,3,1,4,1,887
2,2,2,1,1,1,1,2,1,9,24,26,23,25,26,37,8,0,3,0,674
2,2,2,1,1,1,1,2,1,2,10,18,14,33,33,47,1,0,3,0,565
3,4,1,0,0,0,0,4,2,6,31,29,26,28,35,64,7,1,6,0,853
4,3,1,0,0,0,0,3,3,8,27,23,27,32,33,45,6,1,4,1,844
5,3,1,0,0,0,0,3,3,7,30,36,24,22,25,81,5,1,5,1,957
2,2,3,1,1,1,2,2,4,2,14,23,30,33,33,43,1,0,3,0,817
5,3,1,0,0,0,0,3,3,8,18,35,35,26,31,74,4,1,4,1,975
5,3,1,0,0,0,0,3,3,7,27,24,29,21,32,80,5,1,5,1,952
2,2,3,1,1,1,2,2,4,0,28,25,21,22,30,49,1,0,3,0,788
6,5,1,0,0,1,0,4,2,5,31,24,24,26,25,41,0,1,6,0,1183
5,3,1,0,0,0,0,3,3,7,24,25,25,28,21,23,5,1,5,1,886
